"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-07-19",2025-06-19,"2025-07-19",6
"2","ild","2025-07-19",2025-06-19,"2025-07-19",6
"3","ssh","2025-07-19",2025-06-19,"2025-07-19",6
"4","sst","2025-07-19",2025-06-19,"2025-07-19",6
"5","su","2025-07-19",2025-06-19,"2025-07-19",6
"6","sv","2025-07-19",2025-06-19,"2025-07-19",6
"7","sustr","2025-07-19",2025-06-19,"2025-07-19",6
"8","svstr","2025-07-19",2025-06-19,"2025-07-19",6
"9","sst_sd","2025-07-19",2025-06-19,"2025-07-19",6
"10","ssh_sd","2025-07-19",2025-06-19,"2025-07-19",6
"11","curl","2025-07-19",2025-06-19,"2025-07-19",6
