"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-07-04",2025-06-04,"2025-07-04",21
"2","ild","2025-07-04",2025-06-04,"2025-07-04",21
"3","ssh","2025-07-04",2025-06-04,"2025-07-04",21
"4","sst","2025-07-04",2025-06-04,"2025-07-04",21
"5","su","2025-07-04",2025-06-04,"2025-07-04",21
"6","sv","2025-07-04",2025-06-04,"2025-07-04",21
"7","sustr","2025-07-04",2025-06-04,"2025-07-04",21
"8","svstr","2025-07-04",2025-06-04,"2025-07-04",21
"9","sst_sd","2025-07-04",2025-06-04,"2025-07-04",21
"10","ssh_sd","2025-07-04",2025-06-04,"2025-07-04",21
"11","curl","2025-07-04",2025-06-04,"2025-07-04",21
