"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-07-22",2025-06-22,"2025-07-22",3
"2","ild","2025-07-22",2025-06-22,"2025-07-22",3
"3","ssh","2025-07-22",2025-06-22,"2025-07-22",3
"4","sst","2025-07-22",2025-06-22,"2025-07-22",3
"5","su","2025-07-22",2025-06-22,"2025-07-22",3
"6","sv","2025-07-22",2025-06-22,"2025-07-22",3
"7","sustr","2025-07-22",2025-06-22,"2025-07-22",3
"8","svstr","2025-07-22",2025-06-22,"2025-07-22",3
"9","sst_sd","2025-07-22",2025-06-22,"2025-07-22",3
"10","ssh_sd","2025-07-22",2025-06-22,"2025-07-22",3
"11","curl","2025-07-22",2025-06-22,"2025-07-22",3
