"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-07-17",2025-06-17,"2025-07-17",8
"2","ild","2025-07-17",2025-06-17,"2025-07-17",8
"3","ssh","2025-07-17",2025-06-17,"2025-07-17",8
"4","sst","2025-07-17",2025-06-17,"2025-07-17",8
"5","su","2025-07-17",2025-06-17,"2025-07-17",8
"6","sv","2025-07-17",2025-06-17,"2025-07-17",8
"7","sustr","2025-07-17",2025-06-17,"2025-07-17",8
"8","svstr","2025-07-17",2025-06-17,"2025-07-17",8
"9","sst_sd","2025-07-17",2025-06-17,"2025-07-17",8
"10","ssh_sd","2025-07-17",2025-06-17,"2025-07-17",8
"11","curl","2025-07-17",2025-06-17,"2025-07-17",8
