"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-05-12",2025-04-12,"2025-05-12",18
"2","ild","2025-05-12",2025-04-12,"2025-05-12",18
"3","ssh","2025-05-12",2025-04-12,"2025-05-12",18
"4","sst","2025-05-12",2025-04-12,"2025-05-12",18
"5","su","2025-05-12",2025-04-12,"2025-05-12",18
"6","sv","2025-05-12",2025-04-12,"2025-05-12",18
"7","sustr","2025-05-12",2025-04-12,"2025-05-12",18
"8","svstr","2025-05-12",2025-04-12,"2025-05-12",18
"9","sst_sd","2025-05-12",2025-04-12,"2025-05-12",18
"10","ssh_sd","2025-05-12",2025-04-12,"2025-05-12",18
"11","curl","2025-05-12",2025-04-12,"2025-05-12",18
