"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-04-03",2025-03-04,"2025-04-03",29
"2","ild","2025-04-03",2025-03-04,"2025-04-03",29
"3","ssh","2025-04-03",2025-03-04,"2025-04-03",29
"4","sst","2025-04-03",2025-03-04,"2025-04-03",29
"5","su","2025-04-03",2025-03-04,"2025-04-03",29
"6","sv","2025-04-03",2025-03-04,"2025-04-03",29
"7","sustr","2025-04-03",2025-03-04,"2025-04-03",29
"8","svstr","2025-04-03",2025-03-04,"2025-04-03",29
"9","sst_sd","2025-04-03",2025-03-04,"2025-04-03",29
"10","ssh_sd","2025-04-03",2025-03-04,"2025-04-03",29
"11","curl","2025-04-03",2025-03-04,"2025-04-03",29
