"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-05-21",2025-04-21,"2025-05-21",29
"2","ild","2025-05-21",2025-04-21,"2025-05-21",29
"3","ssh","2025-05-21",2025-04-21,"2025-05-21",29
"4","sst","2025-05-21",2025-04-21,"2025-05-21",29
"5","su","2025-05-21",2025-04-21,"2025-05-21",29
"6","sv","2025-05-21",2025-04-21,"2025-05-21",29
"7","sustr","2025-05-21",2025-04-21,"2025-05-21",29
"8","svstr","2025-05-21",2025-04-21,"2025-05-21",29
"9","sst_sd","2025-05-21",2025-04-21,"2025-05-21",29
"10","ssh_sd","2025-05-21",2025-04-21,"2025-05-21",29
"11","curl","2025-05-21",2025-04-21,"2025-05-21",29
