"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-05-13",2025-04-13,"2025-05-13",17
"2","ild","2025-05-13",2025-04-13,"2025-05-13",17
"3","ssh","2025-05-13",2025-04-13,"2025-05-13",17
"4","sst","2025-05-13",2025-04-13,"2025-05-13",17
"5","su","2025-05-13",2025-04-13,"2025-05-13",17
"6","sv","2025-05-13",2025-04-13,"2025-05-13",17
"7","sustr","2025-05-13",2025-04-13,"2025-05-13",17
"8","svstr","2025-05-13",2025-04-13,"2025-05-13",17
"9","sst_sd","2025-05-13",2025-04-13,"2025-05-13",17
"10","ssh_sd","2025-05-13",2025-04-13,"2025-05-13",17
"11","curl","2025-05-13",2025-04-13,"2025-05-13",17
