"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-08-27",2025-07-28,"2025-08-27",7
"2","ild","2025-08-27",2025-07-28,"2025-08-27",7
"3","ssh","2025-08-27",2025-07-28,"2025-08-27",7
"4","sst","2025-08-27",2025-07-28,"2025-08-27",7
"5","su","2025-08-27",2025-07-28,"2025-08-27",7
"6","sv","2025-08-27",2025-07-28,"2025-08-27",7
"7","sustr","2025-08-27",2025-07-28,"2025-08-27",7
"8","svstr","2025-08-27",2025-07-28,"2025-08-27",7
"9","sst_sd","2025-08-27",2025-07-28,"2025-08-27",7
"10","ssh_sd","2025-08-27",2025-07-28,"2025-08-27",7
"11","curl","2025-08-27",2025-07-28,"2025-08-27",7
