"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-07-23",2025-06-23,"2025-07-23",2
"2","ild","2025-07-23",2025-06-23,"2025-07-23",2
"3","ssh","2025-07-23",2025-06-23,"2025-07-23",2
"4","sst","2025-07-23",2025-06-23,"2025-07-23",2
"5","su","2025-07-23",2025-06-23,"2025-07-23",2
"6","sv","2025-07-23",2025-06-23,"2025-07-23",2
"7","sustr","2025-07-23",2025-06-23,"2025-07-23",2
"8","svstr","2025-07-23",2025-06-23,"2025-07-23",2
"9","sst_sd","2025-07-23",2025-06-23,"2025-07-23",2
"10","ssh_sd","2025-07-23",2025-06-23,"2025-07-23",2
"11","curl","2025-07-23",2025-06-23,"2025-07-23",2
