"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-07-14",2025-06-14,"2025-07-14",11
"2","ild","2025-07-14",2025-06-14,"2025-07-14",11
"3","ssh","2025-07-14",2025-06-14,"2025-07-14",11
"4","sst","2025-07-14",2025-06-14,"2025-07-14",11
"5","su","2025-07-14",2025-06-14,"2025-07-14",11
"6","sv","2025-07-14",2025-06-14,"2025-07-14",11
"7","sustr","2025-07-14",2025-06-14,"2025-07-14",11
"8","svstr","2025-07-14",2025-06-14,"2025-07-14",11
"9","sst_sd","2025-07-14",2025-06-14,"2025-07-14",11
"10","ssh_sd","2025-07-14",2025-06-14,"2025-07-14",11
"11","curl","2025-07-14",2025-06-14,"2025-07-14",11
