"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-07-24",2025-06-24,"2025-07-24",29
"2","ild","2025-07-24",2025-06-24,"2025-07-24",29
"3","ssh","2025-07-24",2025-06-24,"2025-07-24",29
"4","sst","2025-07-24",2025-06-24,"2025-07-24",29
"5","su","2025-07-24",2025-06-24,"2025-07-24",29
"6","sv","2025-07-24",2025-06-24,"2025-07-24",29
"7","sustr","2025-07-24",2025-06-24,"2025-07-24",29
"8","svstr","2025-07-24",2025-06-24,"2025-07-24",29
"9","sst_sd","2025-07-24",2025-06-24,"2025-07-24",29
"10","ssh_sd","2025-07-24",2025-06-24,"2025-07-24",29
"11","curl","2025-07-24",2025-06-24,"2025-07-24",29
