"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2024-04-27",2024-03-28,"2024-04-27",2
"2","ild","2024-04-27",2024-03-28,"2024-04-27",2
"3","ssh","2024-04-27",2024-03-28,"2024-04-27",2
"4","sst","2024-04-27",2024-03-28,"2024-04-27",2
"5","su","2024-04-27",2024-03-28,"2024-04-27",2
"6","sv","2024-04-27",2024-03-28,"2024-04-27",2
"7","sustr","2024-04-27",2024-03-28,"2024-04-27",2
"8","svstr","2024-04-27",2024-03-28,"2024-04-27",2
"9","sst_sd","2024-04-27",2024-03-28,"2024-04-27",2
"10","ssh_sd","2024-04-27",2024-03-28,"2024-04-27",2
"11","curl","2024-04-27",2024-03-28,"2024-04-27",2
