"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2024-04-12",2024-03-13,"2024-04-12",17
"2","ild","2024-04-12",2024-03-13,"2024-04-12",17
"3","ssh","2024-04-12",2024-03-13,"2024-04-12",17
"4","sst","2024-04-12",2024-03-13,"2024-04-12",17
"5","su","2024-04-12",2024-03-13,"2024-04-12",17
"6","sv","2024-04-12",2024-03-13,"2024-04-12",17
"7","sustr","2024-04-12",2024-03-13,"2024-04-12",17
"8","svstr","2024-04-12",2024-03-13,"2024-04-12",17
"9","sst_sd","2024-04-12",2024-03-13,"2024-04-12",17
"10","ssh_sd","2024-04-12",2024-03-13,"2024-04-12",17
"11","curl","2024-04-12",2024-03-13,"2024-04-12",17
