"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2024-04-19",2024-03-20,"2024-04-19",10
"2","ild","2024-04-19",2024-03-20,"2024-04-19",10
"3","ssh","2024-04-19",2024-03-20,"2024-04-19",10
"4","sst","2024-04-19",2024-03-20,"2024-04-19",10
"5","su","2024-04-19",2024-03-20,"2024-04-19",10
"6","sv","2024-04-19",2024-03-20,"2024-04-19",10
"7","sustr","2024-04-19",2024-03-20,"2024-04-19",10
"8","svstr","2024-04-19",2024-03-20,"2024-04-19",10
"9","sst_sd","2024-04-19",2024-03-20,"2024-04-19",10
"10","ssh_sd","2024-04-19",2024-03-20,"2024-04-19",10
"11","curl","2024-04-19",2024-03-20,"2024-04-19",10
