"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2024-04-16",2024-03-17,"2024-04-16",13
"2","ild","2024-04-16",2024-03-17,"2024-04-16",13
"3","ssh","2024-04-16",2024-03-17,"2024-04-16",13
"4","sst","2024-04-16",2024-03-17,"2024-04-16",13
"5","su","2024-04-16",2024-03-17,"2024-04-16",13
"6","sv","2024-04-16",2024-03-17,"2024-04-16",13
"7","sustr","2024-04-16",2024-03-17,"2024-04-16",13
"8","svstr","2024-04-16",2024-03-17,"2024-04-16",13
"9","sst_sd","2024-04-16",2024-03-17,"2024-04-16",13
"10","ssh_sd","2024-04-16",2024-03-17,"2024-04-16",13
"11","curl","2024-04-16",2024-03-17,"2024-04-16",13
