"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2024-04-04",2024-03-05,"2024-04-04",25
"2","ild","2024-04-04",2024-03-05,"2024-04-04",25
"3","ssh","2024-04-04",2024-03-05,"2024-04-04",25
"4","sst","2024-04-04",2024-03-05,"2024-04-04",25
"5","su","2024-04-04",2024-03-05,"2024-04-04",25
"6","sv","2024-04-04",2024-03-05,"2024-04-04",25
"7","sustr","2024-04-04",2024-03-05,"2024-04-04",25
"8","svstr","2024-04-04",2024-03-05,"2024-04-04",25
"9","sst_sd","2024-04-04",2024-03-05,"2024-04-04",25
"10","ssh_sd","2024-04-04",2024-03-05,"2024-04-04",25
"11","curl","2024-04-04",2024-03-05,"2024-04-04",25
