"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2024-04-01",2024-03-02,"2024-04-01",28
"2","ild","2024-04-01",2024-03-02,"2024-04-01",28
"3","ssh","2024-04-01",2024-03-02,"2024-04-01",28
"4","sst","2024-04-01",2024-03-02,"2024-04-01",28
"5","su","2024-04-01",2024-03-02,"2024-04-01",28
"6","sv","2024-04-01",2024-03-02,"2024-04-01",28
"7","sustr","2024-04-01",2024-03-02,"2024-04-01",28
"8","svstr","2024-04-01",2024-03-02,"2024-04-01",28
"9","sst_sd","2024-04-01",2024-03-02,"2024-04-01",28
"10","ssh_sd","2024-04-01",2024-03-02,"2024-04-01",28
"11","curl","2024-04-01",2024-03-02,"2024-04-01",28
