"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-04-08",2025-03-09,"2025-04-08",28
"2","ild","2025-04-08",2025-03-09,"2025-04-08",28
"3","ssh","2025-04-08",2025-03-09,"2025-04-08",28
"4","sst","2025-04-08",2025-03-09,"2025-04-08",28
"5","su","2025-04-08",2025-03-09,"2025-04-08",28
"6","sv","2025-04-08",2025-03-09,"2025-04-08",28
"7","sustr","2025-04-08",2025-03-09,"2025-04-08",28
"8","svstr","2025-04-08",2025-03-09,"2025-04-08",28
"9","sst_sd","2025-04-08",2025-03-09,"2025-04-08",28
"10","ssh_sd","2025-04-08",2025-03-09,"2025-04-08",28
"11","curl","2025-04-08",2025-03-09,"2025-04-08",28
