"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-08-02",2023-07-03,"2023-08-02",31
"2","ild","2023-08-02",2023-07-03,"2023-08-02",31
"3","ssh","2023-08-02",2023-07-03,"2023-08-02",31
"4","sst","2023-08-02",2023-07-03,"2023-08-02",31
"5","su","2023-08-02",2023-07-03,"2023-08-02",31
"6","sv","2023-08-02",2023-07-03,"2023-08-02",31
"7","sustr","2023-08-02",2023-07-03,"2023-08-02",31
"8","svstr","2023-08-02",2023-07-03,"2023-08-02",31
"9","sst_sd","2023-08-02",2023-07-03,"2023-08-02",31
"10","ssh_sd","2023-08-02",2023-07-03,"2023-08-02",31
"11","curl","2023-08-02",2023-07-03,"2023-08-02",31
